kod_stacji;nazwa_stacji;wojewodztwo_zrodlo;miejscowosc_zrodlo;adres;wgs84_fi_n;wgs84_lambda_e;kod_simc;korekta_powod
MzOstrolKoscWSSE;Ostrołęka-Kościuszki;MAZOWIECKIE;OSTROŁĘKA;ul. Kościuszki 19;53.085319;21.568983;0966079;same_gmina_unique
MzOstrolTargowa;Ostrołęka-Targowa;MAZOWIECKIE;OSTROŁĘKA;ul. Targowa 4;53.084023;21.589205;0966079;same_gmina_unique
MzPiaseczDworWSSE;Piaseczno-Dworska;MAZOWIECKIE;PIASECZNO;ul. Dworska;52.051445;21.005582;0921438;same_gmina_unique
MzPiasPulask;Piastów, ul. Pułaskiego;MAZOWIECKIE;PIASTÓW;ul. Pułaskiego 6/8;52.191728;20.837489;0921496;same_gmina_unique
MzPiastWarszWSSE;Piastów-Warszawska;MAZOWIECKIE;PIASTÓW;ul. Warszawska 24;52.186581;20.843524;0921496;same_gmina_unique
MzPlockPKN1;Płock-Trzepowo;MAZOWIECKIE;TRZEPOWO;ul. Trzepowo 56;52.5888;19.724289;0968859;gmina_in_station_text
MzPruszKraszeWSSE;Pruszków-Kraszewskiego;MAZOWIECKIE;PRUSZKÓW;ul. Kraszewskiego 14;52.162262;20.812831;0921510;same_gmina_unique
MzPruszMajWSSE;Pruszków-Majowa;MAZOWIECKIE;PRUSZKÓW;ul. Majowa 14;52.17154;20.810253;0921510;same_gmina_unique
MzTluszczJKiel;Tłuszcz-Kielaka;MAZOWIECKIE;TŁUSZCZ;ul. Jana Kielaka 1;52.425833;21.429167;0966441;same_gmina_unique
MzWyszDaszynWSSE;Wyszków-Daszyńskiego;MAZOWIECKIE;WYSZKÓW;ul. Daszyńskiego 28;52.593993;21.458079;0966470;same_gmina_unique
MzZwolenWSSE;Zwoleń-Kościuszki;MAZOWIECKIE;ZWOLEŃ;ul. Kościuszki 11;51.35581;21.578566;0974096;same_gmina_unique
OpGora12728;Góra Św. Anny lokalna 12728;OPOLSKIE;GÓRA ŚW. ANNY;ul. Leśnicka;50.451667;18.163333;0497970;manual: Góra Św. Anny -> Góra Świętej Anny, gm. Leśnica
PdBorsukowiz;Borsukowizna, Szkółka Leśna;PODLASKIE;BORSUKOWIZNA;;53.215492;23.642153;0032796;manual: Borsukowizna, gm. Krynki wg współrzędnych
PkCzarnaWSSENafGaz;Czarna-OśrNaftaGaz-WSSE;PODKARPACKIE;CZARNA;ul. Ośrodek Wyp-Szkol Nafta-Gaz;49.308889;22.663903;0348000;manual: Czarna -> Czarna Górna, gm. Czarna/Bieszczady wg współrzędnych
PkGorzycWSSEKEN;Gorzyce-KEN-WSSE;PODKARPACKIE;GORZYCE;ul. Komisji Edukacji Narodowej;50.657792;21.84528;0791496;same_gmina_unique
PkJarosPruch;Jarosław, ul. Pruchnicka;PODKARPACKIE;JAROSŁAW;Pruchnicka;50.012083;22.674772;0972192;same_gmina_unique
PkJarosWIOSJanPawII;Jarosław-JanaPawłaII-WIOS;PODKARPACKIE;JAROSŁAW;ul. Jana Pawła II;50.015833;22.672778;0972192;same_gmina_unique
PkJarosWSSE3Maja;Jarosław - 3 Maja -WSSE;PODKARPACKIE;JAROSŁAW;ul. 3 Maja;50.013333;22.693056;0972192;same_gmina_unique
PkJarosWSSEGrunw;Jarosław-Grunwaldzka-WSSE;PODKARPACKIE;JAROSŁAW;ul. Grunwaldzka 7;50.016389;22.680278;0972192;same_gmina_unique
PkKrosKletow;Krosno, ul. Kletówki;PODKARPACKIE;KROSNO;ul. Kletówki;49.690169;21.7497;0952410;same_gmina_unique
PkKrosnoWSSEKisiel;Krosno-Kisielewskiego-WSSE;PODKARPACKIE;KROSNO;ul. Kisielewskiego 12;49.683889;21.755278;0952410;same_gmina_unique
PkKrosnoWSSEKisielewskiego;Krosno-Kisielewskiego;PODKARPACKIE;KROSNO;ul. Kisielewskiego 12;49.683611;21.755556;0952410;same_gmina_unique
PkKrosnoWSSELewak;Krosno-Lewakowskiego-WSSE;PODKARPACKIE;KROSNO;ul. Lewakowskiego 14;49.693889;21.755278;0952410;same_gmina_unique
PkKrosnoWSSEStasz;Krosno-Staszica-WSSE;PODKARPACKIE;KROSNO;ul. Staszica;49.691667;21.767222;0952410;same_gmina_unique
PkLatosZdrojMOB;Latoszyn-Zdrój-mobilna;PODKARPACKIE;LATOSZYN;;50.019053;21.369344;0818255;manual: Latoszyn-Zdrój -> Latoszyn, gm. Dębica
PkPrzemGrunw;Przemyśl, ul. Grunwaldzka;PODKARPACKIE;PRZEMYŚL;ul. Grunwaldzka;49.784339;22.756239;0971672;same_gmina_unique
